,precision,recall,f1-score,support
无,0.969187675070028,0.9857549857549858,0.9774011299435028,351.0
淋巴转移,0.84375,0.7105263157894737,0.7714285714285714,38.0
accuracy,0.9588688946015425,0.9588688946015425,0.9588688946015425,0.9588688946015425
macro avg,0.9064688375350141,0.8481406507722298,0.8744148506860371,389.0
weighted avg,0.9569341232637013,0.9588688946015425,0.9572804172865171,389.0
