,precision,recall,f1-score,support
无,0.9972826086956522,0.9972826086956522,0.9972826086956522,368.0
转移,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
accuracy,0.9948586118251928,0.9948586118251928,0.9948586118251928,0.9948586118251928
macro avg,0.9748317805383022,0.9748317805383022,0.9748317805383022,389.0
weighted avg,0.9948586118251928,0.9948586118251928,0.9948586118251928,389.0
