,precision,recall,f1-score,support
无,1.0,0.9914529914529915,0.9957081545064378,351.0
淋巴转移,0.926829268292683,1.0,0.9620253164556963,38.0
accuracy,0.9922879177377892,0.9922879177377892,0.9922879177377892,0.9922879177377892
macro avg,0.9634146341463414,0.9957264957264957,0.9788667354810671,389.0
weighted avg,0.9928522164399023,0.9922879177377892,0.9924178001467252,389.0
