,precision,recall,f1-score,support
无,0.9945945945945946,1.0,0.997289972899729,368.0
转移,1.0,0.9047619047619048,0.9500000000000001,21.0
accuracy,0.9948586118251928,0.9948586118251928,0.9948586118251928,0.9948586118251928
macro avg,0.9972972972972973,0.9523809523809523,0.9736449864498645,389.0
weighted avg,0.9948864031126242,0.9948586118251928,0.9947370437714659,389.0
