,precision,recall,f1-score,support
无,0.9512195121951219,1.0,0.975,351.0
淋巴转移,1.0,0.5263157894736842,0.6896551724137931,38.0
accuracy,0.9537275064267352,0.9537275064267352,0.9537275064267352,0.9537275064267352
macro avg,0.975609756097561,0.763157894736842,0.8323275862068966,389.0
weighted avg,0.9559847012351872,0.9537275064267352,0.9471256980764116,389.0
