,precision,recall,f1-score,support
无,0.9460154241645244,1.0,0.9722589167767504,368.0
转移,0.0,0.0,0.0,21.0
accuracy,0.9460154241645244,0.9460154241645244,0.9460154241645244,0.9460154241645244
macro avg,0.4730077120822622,0.5,0.4861294583883752,389.0
weighted avg,0.894945182757185,0.9460154241645244,0.9197719315522985,389.0
