,precision,recall,f1-score,support
无,0.9607329842931938,0.9972826086956522,0.9786666666666667,368.0
转移,0.8571428571428571,0.2857142857142857,0.42857142857142855,21.0
accuracy,0.9588688946015425,0.9588688946015425,0.9588688946015425,0.9588688946015425
macro avg,0.9089379207180255,0.641498447204969,0.7036190476190476,389.0
weighted avg,0.9551407152182398,0.9588688946015425,0.9489700085689803,389.0
