,precision,recall,f1-score,support
无,0.9775910364145658,0.9943019943019943,0.9858757062146892,351.0
淋巴转移,0.9375,0.7894736842105263,0.8571428571428572,38.0
accuracy,0.974293059125964,0.974293059125964,0.974293059125964,0.974293059125964
macro avg,0.957545518207283,0.8918878392562604,0.9215092816787732,389.0
weighted avg,0.9736746883843511,0.974293059125964,0.9733002608040732,389.0
