,precision,recall,f1-score,support
无,0.9749303621169917,0.9971509971509972,0.9859154929577466,351.0
淋巴转移,0.9666666666666667,0.7631578947368421,0.8529411764705883,38.0
accuracy,0.974293059125964,0.974293059125964,0.974293059125964,0.974293059125964
macro avg,0.9707985143918292,0.8801544459439197,0.9194283347141674,389.0
weighted avg,0.97412311166169,0.974293059125964,0.972925713969284,389.0
