,precision,recall,f1-score,support
无,0.95822454308094,0.9972826086956522,0.9773635153129162,368.0
转移,0.8333333333333334,0.23809523809523808,0.37037037037037035,21.0
accuracy,0.9562982005141388,0.9562982005141388,0.9562982005141388,0.9562982005141388
macro avg,0.8957789382071366,0.6176889233954451,0.6738669428416433,389.0
weighted avg,0.9514823440971361,0.9562982005141388,0.9445952478481515,389.0
